_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
013751.jpg2,113,31,447,31,8f17a332-4caa-4691-a59c-f6766edf1fa3,11,female,39.8,0,-7.8,012501.jpg1,0.762533,0.011297566,0.002196678,0.203870669,0.000793677,0.004373339,0.013980932,0.000954117,123,238,103,123
014001.jpg1,90,122,279,122,8a1b6f05-3c47-403d-a668-fde5d7b87768,52,female,3.9,0,3.9,012751.jpg1,0.088174626,2.80215E-05,7.42E-07,0.9108059,7.47497E-06,8.21488E-05,0.000898768,2.33073E-06,120,199,98,120
014251.jpg1,96,144,177,144,b21d7142-985e-4bc4-8f14-b58c670d6ddd,82,male,-2.3,0,-0.5,013001.jpg1,0.6389638,0.213104144,0.015368862,0.111617431,0.002565105,0.002568382,0.011811111,0.004001171,125,244,109,125
014501.jpg1,88,149,163,149,93cf907b-cb3c-43ad-b42c-67381f5f1fb7,81,male,-4,0,-7,013251.jpg1,0.6594346,0.009696306,0.000417631,0.315250516,0.000184471,0.003788154,0.007623852,0.003604434,122,250,85,122
014751.jpg1,99,145,229,145,1c714142-ca52-4e9f-aa0f-bef0a6a06407,77,male,17.4,0,-2.4,013501.jpg1,0.0726773,0.000306088,6.34092E-05,0.9240605,2.42563E-05,0.002102105,0.000677595,8.87057E-05,44,432,116,44
015251.jpg1,96,145,252,145,74510d3e-25a0-4a15-864f-04cb4ebc6e36,85,male,-0.3,0,1.3,014001.jpg1,0.8313769,0.00503298,0.000664932,0.107400812,0.00450539,0.043691173,0.005594646,0.001733177,123,278,90,123
015501.jpg1,113,144,231,144,f9acfbb4-7974-4d08-8ab7-e68322979d58,84,male,7.2,0,-9.6,014251.jpg1,0.7919995,0.121012047,0.038586993,0.004189519,0.006947053,0.010909639,0.013418344,0.012936899,143,178,97,143
015751.jpg1,103,144,215,144,3f49afa1-b65b-4014-9458-e8214aa89228,84,male,18.9,0,-7.2,014501.jpg1,0.775987566,0.022893598,0.09775674,0.014784362,0.0009255,0.012569206,0.026437689,0.04864532,151,162,87,151
016001.jpg1,117,142,227,142,0483c947-7e04-4cb5-8f38-69d95d37a337,78,male,-1.1,0,-2.5,014751.jpg1,0.8590677,0.088689335,0.041575465,0.000202846,5.96947E-06,9.54292E-05,0.00221888,0.008144379,144,229,100,144
016251.jpg1,92,144,230,144,909e7938-90cd-4cdf-943d-15f3c08c451a,85,male,6.8,0,-1.9,015251.jpg1,0.8558861,0.016881798,0.093641326,0.004473965,5.83824E-05,0.000700518,0.006611284,0.0217466,147,250,94,147
016501.jpg1,118,147,227,147,24f3b480-306d-437a-9e4f-1576f52dcac1,81,male,-4.1,0,-4.4,015501.jpg1,0.5350339,0.001800205,0.007348,0.4189808,3.17785E-05,0.001631745,0.016195899,0.018977715,144,230,114,144
016751.jpg1,113,145,217,145,3994dcd2-f73a-4f95-b53a-f8f358a00bc9,81,male,-4,0,-5.3,015751.jpg1,0.841181,0.141242653,0.009759386,0.003285193,0.000476338,0.000751386,0.002099682,0.001204403,142,214,104,142
017001.jpg1,111,146,240,146,850ac267-f152-430a-aee4-af790c37654a,82,male,-0.9,0,-4.7,016001.jpg1,0.7287872,0.004385872,0.108094722,0.007280862,0.000237342,0.013878307,0.025935436,0.111400269,144,226,116,144
017251.jpg1,106,144,218,144,330c9f5f-7fd8-4e6e-948e-96e9e08f56ee,78,male,-0.7,0,-3.8,016251.jpg1,0.856460333,0.060438123,0.006608663,0.060018253,0.000324642,0.007723002,0.003601803,0.004825199,144,230,93,144
017501.jpg1,113,144,232,144,b91455d1-e0e2-4c5f-8af0-71220d3470d8,82,male,18.8,0,-6.8,016501.jpg1,0.6423789,0.006074547,0.182823241,0.003372448,0.000312434,0.005618386,0.021183236,0.138236821,147,228,118,147
017751.jpg1,125,49,517,49,a0ed6b52-748b-4f53-bd76-1e47f81a266a,37,female,16.5,0,-0.6,016751.jpg1,0.6540469,0.005238179,0.203965083,0.019627864,0.001182399,0.014143016,0.058092136,0.043704413,146,216,113,146
017751.jpg2,123,48,125,48,f012d7f2-05b9-44af-b9b4-2dfb71f07fca,60,male,38.2,0,-1.9,017001.jpg1,0.8546165,0.041013494,0.0490702,0.007814756,0.000267672,0.002575836,0.012516905,0.032124605,144,240,112,144
018001.jpg1,92,110,284,110,aff73b7b-46d3-4da0-90f0-2fb31acbb015,50,female,9.3,0,-11,017251.jpg1,0.856869459,0.018271321,0.052642815,0.005924656,0.002736792,0.02945746,0.024502788,0.009594707,147,215,105,147
018251.jpg1,109,112,268,112,bd4d4b65-c57c-4e03-9e23-c27f49b0aa9a,50,female,-17.1,0,6.8,017501.jpg1,0.926988065,0.042675786,0.0088962,0.008956905,0.000588251,0.002133557,0.006873395,0.002887812,144,232,113,144
018501.jpg1,75,134,129,134,4b72ce4c-59b0-4546-b675-83afc9bd0afd,76,male,18.9,0,-3.8,017751.jpg1,6.73855E-05,2.49395E-06,1.04E-07,0.999929667,2.09E-09,4.55E-09,1.58E-07,1.62E-07,50,517,125,50
018501.jpg2,93,114,438,114,1073e253-1697-4175-8584-9a6d491f894e,50,female,-11,0,10,018001.jpg1,0.325864851,0.009682258,0.001654847,0.6163163,0.000293841,0.000875817,0.041124348,0.004187685,111,284,92,111
018751.jpg1,92,116,271,116,2c22705c-6c31-4ab0-b429-c772fa604ff5,63,female,-2.9,0,7.8,018251.jpg1,0.01773832,1.31935E-05,5.95E-07,0.981597841,1.39E-07,8.56E-07,0.00064772,1.31123E-06,112,269,108,112
019001.jpg1,103,113,352,113,d8c2e951-4cf2-4d84-9eb1-1d18c9f84cb3,50,female,25.4,0,1.4,018501.jpg1,0.967706442,0.029628255,0.00027754,0.000281698,0.001043956,0.000514462,0.00050033,4.73446E-05,133,130,75,133
019501.jpg1,102,138,180,138,872883b3-1626-4510-95bb-25f7de18ca80,82,male,-0.7,0,-7.5,018501.jpg2,0.8274821,0.140072137,0.003492523,0.002650046,0.00038045,0.004793842,0.018228866,0.002900049,114,438,93,114
019751.jpg1,85,128,230,128,46075dd5-00a5-4476-b08f-c875eaf7cb92,71,male,40.1,0,-14.6,018751.jpg1,0.398210466,0.005451884,0.000316862,0.5805615,0.000515264,0.002216741,0.008612837,0.00411443,116,271,93,116
020001.jpg1,103,137,196,137,8834a081-10ae-46bc-b245-0eb16b19cb7e,82,male,-8.9,0,-0.1,019001.jpg1,0.9787906,0.000251673,9.67849E-06,7.85797E-05,0.000147315,0.020151625,0.000561244,9.32491E-06,114,352,103,114
020251.jpg1,95,136,215,136,420b4c89-38b0-40cd-9500-7dd84f6e9cee,82,male,-2.9,0,-4.1,019501.jpg1,0.918319464,0.003222851,0.003832231,0.001671172,0.000581675,0.05565325,0.013695282,0.003024071,137,181,101,137
020501.jpg1,116,120,444,120,f16e50d3-96d2-439a-811d-9b5c0ae7c7ef,36,female,0.1,0,4.1,019751.jpg1,0.9141335,0.014301683,0.060665373,0.000702757,0.000465596,0.00033325,0.002307626,0.007090211,128,229,85,128
020751.jpg1,131,124,183,124,4f8a3a03-643d-400b-bcd8-7aaa0af4415e,84,male,-1.6,0,-11.4,020001.jpg1,0.7006978,0.015602975,0.188075483,0.0248991,0.000133972,0.002402035,0.016955681,0.051232986,137,197,102,137
021001.jpg1,131,111,251,111,725e96b1-1a9a-447a-8f11-0ab3e5061a2d,32,female,-7.6,0,-6.2,020251.jpg1,0.7465775,0.011465652,0.103042871,0.020897646,0.006388105,0.017016048,0.03409653,0.06051567,136,214,95,136
