_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
022251.jpg1,0.623920441,0.00188701553,0.0008015862,0.334454238,0.00148468791,0.0149303619,0.0207100231,0.00181167817,114,282,100,114
022501.jpg1,0.74299407,0.0000768505,0.0000336422163,0.195677742,0.0000212204686,0.0581514128,0.00275321561,0.000291831442,128,245,124,128
022751.jpg1,0.6714914,0.225498334,0.005804668,0.0356303081,0.00306510879,0.03897856,0.009346115,0.0101854894,129,250,123,129
023001.jpg1,0.509863853,0.01568445,0.0027412388,0.402089417,0.002822279,0.0305245668,0.02792735,0.008346871,134,453,112,134
023251.jpg1,0.8272486,0.002930702,0.0009015062,0.006798268,0.000543474336,0.1509759,0.004403068,0.006198518,130,249,122,130
023501.jpg1,0.617119133,0.002563904,0.000362711377,0.314045638,0.000252685539,0.0280462671,0.03635727,0.00125238276,140,111,104,140
023501.jpg2,0.712467432,0.0427496545,0.00330959726,0.180316418,0.00654228171,0.0130356336,0.035510812,0.006068142,136,413,107,136
023751.jpg1,0.8491605,0.09536853,0.0002326796,0.0138509376,0.0001422057,0.0210844353,0.0188498888,0.00131086085,135,230,113,135
024001.jpg1,0.4898499,0.009377281,0.00348644424,0.41428858,0.00129069446,0.0181714538,0.0287655536,0.0347700939,133,292,117,133
024251.jpg1,0.843362749,0.000315489684,0.0312967673,0.00299477321,0.00008604009,0.04443974,0.07285709,0.004647322,133,235,99,133
024501.jpg1,0.9561874,0.0283766221,0.00491641043,0.002179899,0.0006325732,0.00202524988,0.00502960756,0.000652200251,141,101,101,141
024501.jpg2,0.435420126,0.0562642924,0.000333055854,0.4950061,0.0011982678,0.007307383,0.0025489917,0.00192175643,135,397,93,135
024751.jpg1,0.491339028,0.0000165500114,0.00003709341,0.44894895,0.000004263255,0.0007339535,0.05888311,0.0000370586167,131,369,109,131
024751.jpg2,0.487824857,0.000107752443,0.000454948429,0.466331273,0.000005270206,0.00408720132,0.0405458063,0.000642906758,126,103,126,126
025001.jpg1,0.9411388,0.0106498124,0.0199560262,0.00329113519,0.00047736385,0.0106022144,0.00666959444,0.00721506635,145,183,109,145
025251.jpg1,0.9249818,0.0299013779,0.009491321,0.004516616,0.00459165126,0.0216672923,0.00353366625,0.00131629186,138,224,82,138
025501.jpg1,0.7377609,0.0993696451,0.0941997,0.00488114962,0.0010531561,0.0136919515,0.0174808521,0.03156264,141,198,114,141
025751.jpg1,0.620804548,0.05347815,0.271444619,0.00602964638,0.000464955519,0.0012768578,0.0142173516,0.03228387,142,178,105,142
026001.jpg1,0.915722966,0.005953934,0.026787607,0.0174993686,0.0012723906,0.00497571332,0.0109105976,0.016877437,137,202,63,137
026251.jpg1,0.859340549,0.0434626043,0.06699093,0.00629778672,0.000227586512,0.00137416471,0.0102174245,0.0120889889,141,191,110,141
026501.jpg1,0.7066351,0.0100269532,0.18632479,0.006817278,0.000309844036,0.00500587327,0.0230782852,0.0618018769,141,187,117,141
026751.jpg1,0.2136247,0.09579635,0.07582271,0.509641767,0.00528449938,0.05553194,0.00155452173,0.0427435227,144,186,94,144
027001.jpg1,0.498292059,0.2956512,0.123715259,0.005692432,0.00346717285,0.008347679,0.01398916,0.0508450344,142,198,88,142
027251.jpg1,0.8288211,0.009860217,0.07195533,0.0127384383,0.00519387843,0.0321995728,0.0136726853,0.025558779,142,227,96,142
027501.jpg1,0.828852654,0.133697972,0.0255323574,0.00165735115,0.000791024533,0.00172744994,0.00164157664,0.00609958125,142,209,105,142
027751.jpg1,0.8605412,0.101162262,0.0195564572,0.00334071927,0.0001945155,0.00164744479,0.006183167,0.00737421541,144,213,116,144
028251.jpg1,0.89727056,0.0000130509688,0.000319487852,0.000102304723,0.00000172713908,0.10219723,0.00008501151,0.0000106135612,121,243,142,121
028501.jpg1,0.9376575,0.023520181,0.006536316,0.00591616239,0.0145739885,0.009342361,0.00182677025,0.0006267247,139,216,95,139
028751.jpg1,0.9293371,0.006194062,0.0193748847,0.0144017627,0.0004776776,0.00324849552,0.0213436987,0.00562230451,140,257,101,140
029001.jpg1,0.898631334,0.00006771939,0.00000369695272,0.0000510452737,0.0000112926155,0.100623839,0.000607436057,0.00000364055336,101,429,118,101
029251.jpg1,0.664689243,0.194666535,0.00220292062,0.07921504,0.00654163258,0.0231992025,0.0266749114,0.00281050149,133,120,138,133
029251.jpg2,0.8736548,0.000940226251,0.0000788559,0.05330706,0.000730272557,0.07013331,0.001075422,0.00008005951,91,372,100,91
029501.jpg1,0.728466,0.2544334,0.012495758,0.00282921013,0.00006333453,0.00007688178,0.000701311859,0.0009340962,130,86,127,130
029501.jpg2,0.8315599,0.00157987466,0.000369959627,0.0236437954,0.00113197381,0.1364065,0.004590545,0.0007174502,89,380,101,89
029751.jpg1,0.889940262,0.0142266843,0.0366445072,0.0246156864,0.00126091868,0.00892347,0.00716049969,0.0172279533,141,147,76,141
029751.jpg2,0.949510455,0.00134310091,0.0000485949022,0.0331269838,0.000259369262,0.0154292528,0.000257320877,0.0000248965152,86,381,102,86
030001.jpg1,0.8683627,0.00105918548,0.00129895832,0.08269456,0.000792074658,0.0321750939,0.0110797416,0.00253764051,142,226,85,142
030251.jpg1,0.7532741,0.008532238,0.122993946,0.00389415049,0.0003883349,0.00328371,0.009228233,0.0984052941,146,213,105,146
030501.jpg1,0.86782515,0.0304702818,0.0392656848,0.009736918,0.00118618237,0.0163329449,0.0158040654,0.0193787869,142,239,102,142
030751.jpg1,0.929319859,0.00144417025,0.00193631556,0.0259102844,0.0006192508,0.0293683745,0.009075757,0.00232601748,140,259,85,140
031001.jpg1,0.479206949,0.205431834,0.282110751,0.00189384469,0.0011584129,0.000279634231,0.00308185956,0.0268367212,139,253,100,139
031501.jpg1,0.9409681,0.0006387419,0.009423789,0.005514479,0.0000147009359,0.0108188,0.0299122036,0.002709179,116,93,141,116
031501.jpg2,0.00006494181,1.14187316e-7,5.04775333e-10,0.9999336,1.70331207e-10,7.95903232e-10,0.000001328706,3.96002129e-8,111,443,96,111
031751.jpg1,0.6112561,0.000390824425,0.191129237,0.0137987323,0.000676663651,0.08158768,0.09517167,0.005989076,124,101,127,124
031751.jpg2,0.014711774,0.0000449285326,3.42207557e-7,0.9847702,0.0000117325653,0.0001087491,0.0003196338,0.0000326618065,112,416,91,112
032001.jpg1,0.845326662,0.000450727122,0.00008349342,0.152831048,0.0000564104848,0.0004170803,0.0008120914,0.0000224933465,138,115,74,138
032001.jpg2,0.6892148,0.0208837222,0.00414734427,0.198477015,0.0003086105,0.00176157942,0.0793763846,0.00583051,113,454,99,113
