_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
016751.jpg1,016751.jpg,0.6540469,0.005238179,0.203965083,0.019627864,0.001182399,0.014143016,0.058092136,0.043704413,146,216,113,146,016751.jpg4,male
017001.jpg1,017001.jpg,0.8546165,0.041013494,0.0490702,0.007814756,0.000267672,0.002575836,0.012516905,0.032124605,144,240,112,144,017001.jpg5,male
017251.jpg1,017251.jpg,0.856869459,0.018271321,0.052642815,0.005924656,0.002736792,0.02945746,0.024502788,0.009594707,147,215,105,147,017251.jpg4,male
017501.jpg1,017501.jpg,0.926988065,0.042675786,0.0088962,0.008956905,0.000588251,0.002133557,0.006873395,0.002887812,144,232,113,144,017501.jpg5,male
017751.jpg1,017751.jpg,6.74E-05,2.49E-06,1.04E-07,0.999929667,2.09E-09,4.55E-09,1.58E-07,1.62E-07,50,517,125,50,017751.jpg10,female
018001.jpg1,018001.jpg,0.325864851,0.009682258,0.001654847,0.6163163,0.000293841,0.000875817,0.041124348,0.004187685,111,284,92,111,018001.jpg6,female
018251.jpg1,018251.jpg,0.01773832,1.32E-05,5.95E-07,0.981597841,1.39E-07,8.56E-07,0.00064772,1.31E-06,112,269,108,112,018251.jpg5,female
018501.jpg1,018501.jpg,0.967706442,0.029628255,0.00027754,0.000281698,0.001043956,0.000514462,0.00050033,4.73E-05,133,130,75,133,018501.jpg3,male
018501.jpg2,018501.jpg,0.8274821,0.140072137,0.003492523,0.002650046,0.00038045,0.004793842,0.018228866,0.002900049,114,438,93,114,018501.jpg9,female
018751.jpg1,018751.jpg,0.398210466,0.005451884,0.000316862,0.5805615,0.000515264,0.002216741,0.008612837,0.00411443,116,271,93,116,018751.jpg5,female
019001.jpg1,019001.jpg,0.9787906,0.000251673,9.68E-06,7.86E-05,0.000147315,0.020151625,0.000561244,9.32E-06,114,352,103,114,019001.jpg7,female
019501.jpg1,019501.jpg,0.918319464,0.003222851,0.003832231,0.001671172,0.000581675,0.05565325,0.013695282,0.003024071,137,181,101,137,019501.jpg4,male
019751.jpg1,019751.jpg,0.9141335,0.014301683,0.060665373,0.000702757,0.000465596,0.00033325,0.002307626,0.007090211,128,229,85,128,019751.jpg5,male
020001.jpg1,020001.jpg,0.7006978,0.015602975,0.188075483,0.0248991,0.000133972,0.002402035,0.016955681,0.051232986,137,197,102,137,020001.jpg4,male
020251.jpg1,020251.jpg,0.7465775,0.011465652,0.103042871,0.020897646,0.006388105,0.017016048,0.03409653,0.06051567,136,214,95,136,020251.jpg4,male
