_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,data
097501.jpg1,92,135,89,135,50f9290f-18c1-49c0-937c-e8cff7f1860b,81,male,4.3,0,-0.6,
097501.jpg2,78,115,378,115,91b5d2e4-1660-4ca9-ba27-a2d0b2ba9653,36,female,-27,0,11.4,
097751.jpg1,104,131,143,131,267d248e-aabb-4e0f-91ce-4801b69047b2,86,male,6.4,0,-0.1,
097751.jpg2,96,104,349,104,8e2e94dd-de85-4e46-b426-474356585065,41,female,-38.6,0,9.7,
098001.jpg1,82,82,477,82,9f30fb3d-a75b-4e59-8108-c71b57e2c825,52,female,21.3,0,-15.8,
098251.jpg1,82,82,476,82,17284aa8-6217-493b-9eae-3507d89a3e91,46,female,25.1,0,-14.9,
098501.jpg1,82,82,476,82,8a553c6b-e754-4f2c-9973-4f7a49c11606,50,female,23.8,0,-15,
098751.jpg1,82,82,477,82,c19b88dc-201a-4a8c-9872-95d9bb0476e0,46,female,22.4,0,-15.6,
099751.jpg1,97,44,249,44,158b7197-4f97-4fda-bd7b-88d0a4fd4bb6,38,male,23.4,0,-9.4,
099751.jpg2,114,31,381,31,51c6fff7-8c88-4e9d-9761-6fae30eec5d2,34,female,31.2,0,5.7,
100001.jpg1,115,51,218,51,baa02656-bdbd-43af-afc9-3f9f2452e085,32,male,42.5,0,6.7,
100501.jpg1,92,118,304,118,58aabec7-4df3-412f-90f6-55a47fe63ce9,59,female,16.5,0,0,
100751.jpg1,106,117,310,117,d3e996bf-b311-440d-b1d5-30c0271f2a6c,59,female,9.6,0,-0.7,
101001.jpg1,95,137,282,137,01b261a7-3d73-460b-926a-9d290d6dd7e0,41,female,3.1,0,-4,
101251.jpg1,105,141,291,141,581b468b-ac22-44e6-a12e-eacd43ca8724,48,female,-0.7,0,0.4,
101501.jpg1,107,135,270,135,92bb7deb-f193-4d1c-915b-0eadb2c080e3,38,female,13.5,0,-19.8,
101751.jpg1,92,138,299,138,ec27e578-17ff-4dda-bd4d-f1c40a490fdd,43,female,18.9,0,-16.2,
102001.jpg1,106,137,241,137,15177fa5-82e3-4508-adf9-bed98c447698,61,female,3.8,0,-13.1,
102251.jpg1,117,134,253,134,5e1dfb9c-0faf-4ec2-ac27-24069747414f,58,female,7.5,0,-12.3,
102501.jpg1,104,133,265,133,cf3bbc96-bb2f-4540-93e3-b72bf34cb54d,66,female,9.3,0,3,
102751.jpg1,110,130,288,130,3764cb38-2387-4b4e-be0b-f36963873e46,46,female,2.6,0,2,
103001.jpg1,107,138,300,138,78ce2fda-4aec-4820-8582-3ca9466ff259,46,female,23.2,0,-3.1,
103251.jpg1,110,130,246,130,a8598631-7867-4c04-9ecd-951da0ec954b,46,female,0.8,0,-10.4,
103751.jpg1,123,136,255,136,0aadad97-3248-4254-a18e-4f2148009b6b,44,female,6.5,0,-5.1,
104001.jpg1,129,135,229,135,6f26867c-714a-48cb-81a0-ace5b58f9f04,40,female,0.4,0,-13.4,
104251.jpg1,102,61,458,61,1000decd-c15f-4988-9adf-f0d8e2702c59,30,female,-32.7,0,14,
104251.jpg2,58,60,77,60,d0ec899e-042a-4e4a-9862-1c14f06a04d9,61,male,8.2,0,-8.9,
104501.jpg1,90,151,198,151,a0b2448d-7073-4941-9da5-b5cbbccc8b62,83,male,29.1,0,-10.3,
104751.jpg1,93,160,90,160,662ceaf4-0795-4037-b771-56bd12b1e170,84,male,8.2,0,-0.1,
104751.jpg2,140,128,421,128,33a6940f-8144-4094-bee1-fb5f0eff35e9,45,female,-9.3,0,10.1,
105001.jpg1,89,152,286,152,5dcdfcda-eb6b-49e5-ad19-571f637c6dfd,81,male,6,0,2.2,
105251.jpg1,128,153,252,153,79dd90db-c5b2-4a45-94d8-bacbe825448c,82,male,0.7,0,-9.1,
105501.jpg1,88,155,238,155,ad6e00a5-70d9-4054-9d68-70639faad4cd,82,male,-4,0,0.3,
105751.jpg1,109,126,149,126,a178258b-878e-4ab1-92e8-01c63bb649c9,64,male,38.7,0,-13.4,
105751.jpg2,124,109,419,109,85c638fa-362b-43d2-9c20-98f36809725e,42,female,-24.6,0,7.9,
106001.jpg1,76,152,82,152,a6b8d4af-ecc7-4c17-8543-90bf366b2885,81,male,8.2,0,-1.9,
106001.jpg2,103,118,429,118,5347984d-fa77-4744-aa7c-9cca2ea914b5,68,female,-11.2,0,-1.8,
106251.jpg1,84,127,282,127,85332c46-96c2-4c99-a3d6-ee021de3c700,33,male,-2.7,0,1,
106501.jpg1,73,37,82,37,a4e74593-0ed1-43f2-a990-580b9bd09aa4,37,female,48.6,0,2.8,
106751.jpg1,119,53,501,53,8cf319d0-04ee-4bba-8b6f-988784336b69,34,female,23.9,0,19.5,
106751.jpg2,60,50,93,50,3dcb8fa6-d81b-44e5-a284-6c5282ebe338,69,male,-37.2,0,-7.8,
107001.jpg1,56,148,196,148,cf1cd1b5-97d1-41d0-b647-bf2194453539,88,male,-0.7,0,-2.4,
107251.jpg1,82,157,211,157,2c7d0803-1716-4205-8116-01fb4f67e7ec,84,male,16.6,0,-6.5,
107501.jpg1,95,156,192,156,bf6228d7-d90b-44ba-ac25-11afc69df8e9,84,male,-1,0,-6,
107751.jpg1,99,146,170,146,2934b2ed-1cb8-4524-8e91-991b655994f2,86,male,39.9,0,-13.3,
108001.jpg1,76,137,205,137,595e55d0-ccb6-4efb-9898-743ea5659fec,82,male,-2.2,0,-1.8,
108251.jpg1,114,142,241,142,7221a620-612a-42c3-9657-80fdc058dd15,82,male,7.2,0,1,
108501.jpg1,99,144,179,144,50ee69ce-9aa9-444a-9e94-c2cf7f9d9bb0,84,male,-3.3,0,-9.3,
108751.jpg1,88,139,213,139,a08320c8-1f91-46f9-993d-0afc5e014c3a,84,male,14.2,0,-4.9,
109001.jpg1,126,99,435,99,4f3d8246-dcd1-4cf0-b416-d27f2b53cf5c,42,female,-2.3,0,2.5,
109251.jpg1,74,140,224,140,78d3db8b-655e-41ec-a893-3794f74e6ca7,82,male,8.2,0,-1.5,
109501.jpg1,127,52,479,52,bd9a0f17-74eb-4b0b-9bd0-f53727e23fce,30,female,41.8,0,-4.2,
109751.jpg1,115,35,187,35,cf93e434-4b43-48a8-b87a-647a115e30c8,66,male,-43,0,1,
110001.jpg1,103,142,203,142,c1f0706e-0e1d-4dc7-89d3-b8ccbdba0755,86,male,8.2,0,-4.9,
110251.jpg1,90,138,201,138,3de1c9fd-989e-4458-af38-380974c21580,86,male,11.5,0,-4.7,
110501.jpg1,90,138,213,138,ad0ce82f-3ca9-418a-b3d8-dad532177599,82,male,29.3,0,-10,
110751.jpg1,61,131,221,131,6155147f-92a2-45e2-977d-e8dba7cb056d,72,male,33.4,0,-8.7,
111001.jpg1,96,112,255,112,25ae0c01-1aca-46e2-921a-d23308a035fe,44,female,5.2,0,-8.3,
111251.jpg1,91,113,256,113,8f68cd7e-0e49-445f-bcde-49c5696da616,48,female,0.5,0,-5.2,
111501.jpg1,96,115,267,115,50d66b27-ede8-4d35-b73a-282ed312ee65,47,female,2.7,0,1.7,
111751.jpg1,96,110,246,110,af76585d-3d95-4feb-925f-b8f84d8829ed,48,female,-5.7,0,-8,
112001.jpg1,80,115,115,115,40aaff82-02a3-4830-a82f-fe37560176f3,64,male,42.8,0,-12.2,
112001.jpg2,102,107,426,107,1e01327a-2faf-4c0e-b703-9d47f68bfef1,36,female,8.6,0,-14.4,
112251.jpg1,84,109,288,109,773f7605-99c9-4b7e-a36b-faad0ee8fd91,42,female,-2.6,0,5,
112501.jpg1,88,114,259,114,09bc23fe-b5e1-44ce-9d36-5b00957f2f7f,46,female,1,0,-4.5,
112751.jpg1,118,112,407,112,c392f1cc-35a3-4e1b-b270-65c3d2604e1c,39,female,3,0,-9.5,
113001.jpg1,101,124,227,124,0a7dfbee-745b-4685-926d-8805921b53d8,82,male,19.2,0,-11.8,
113251.jpg1,95,127,228,127,55c364ab-5095-4414-a861-9f583b3560a8,82,male,-1,0,-10.5,
113501.jpg1,70,127,183,127,12e2719e-e2c2-4eb3-b4da-d2fe032b32e5,68,male,18.1,0,-3.8,
113751.jpg1,62,124,174,124,9fbb0e4d-41db-4359-bd10-649ddba1a27f,74,male,-2.1,0,-3.7,
114001.jpg1,89,129,189,129,c6a81bf7-130d-4bc4-a13f-bfbe2cd67c76,82,male,-3.3,0,-8.8,
114251.jpg1,56,128,221,128,e336f197-ad2b-44ff-ace0-71b900165eb0,79,male,9.2,0,-1.4,
114501.jpg1,76,128,194,128,4d005741-5bb3-48a8-9582-e9d3c00994a1,82,male,-3.3,0,2.1,
114751.jpg1,95,127,198,127,fc681df5-a675-4687-a56b-491ea1fa0bcd,82,male,11.5,0,-0.1,
115001.jpg1,,,,,,,,,,,code
115251.jpg1,73,125,196,125,956c2bd5-8428-47a0-86b6-e790b5336d48,78,male,30.8,0,-8.1,
115501.jpg1,140,44,462,44,e94105c5-4447-4394-bfb7-9e103961a035,30,female,-32.3,0,9.1,
115751.jpg1,98,120,268,120,b8184635-6c1c-4f5f-b8a9-63335c83ad9a,50,female,5.3,0,-2.6,
116001.jpg1,92,113,264,113,fe3365d4-22e0-4b8a-b4ed-6f0acd4d484c,63,female,-3.7,0,1.4,
116251.jpg1,78,124,113,124,fb447a4b-9d83-4828-843f-97d5434367a1,81,male,5.5,0,3.7,
116251.jpg2,86,119,425,119,97a5d41d-3e85-4c25-9159-124d0b4162fe,44,female,-9.4,0,-0.1,
116501.jpg1,84,127,175,127,3c5b0c38-9043-48dd-b76c-6c8386d32127,84,male,4.6,0,9.7,
116501.jpg2,89,119,417,119,3593bc31-b054-4209-b003-387134d8a8f2,46,female,-7.8,0,-0.9,
116751.jpg1,93,117,403,117,0393c478-3d99-4eb2-be1a-c9291290d34a,58,female,1.7,0,-1.7,
116751.jpg2,93,117,170,117,5c158dd0-36fc-40af-a0b1-314b663a291d,65,male,43.5,0,-14.4,
117001.jpg1,91,119,429,119,2c5cb3e6-56ea-4577-a5d1-0fc420af4a6c,43,female,11,0,1.2,
117001.jpg2,108,115,141,115,0b41533d-b1df-49ed-b278-78838666eb44,76,male,23.8,0,2.6,
117251.jpg1,96,120,123,120,97ea702b-d400-4e79-a88d-05518563af03,56,male,29,0,1.9,
117251.jpg2,86,119,393,119,922dd86c-fd33-42ac-8743-ef9a0a09f6eb,52,female,4.2,0,-10.2,
117501.jpg1,82,129,79,129,ef78385f-a463-4826-a47d-75c9dac966e7,81,male,-3.3,0,-8.5,
117501.jpg2,90,113,374,113,adf59aa9-7d43-455c-862c-f70d45718ef5,55,female,-20.4,0,-0.5,
117751.jpg1,102,128,85,128,77ca86e5-fcc8-440d-b1ce-0a01b537b4d2,86,male,-2.2,0,-0.2,
117751.jpg2,117,106,387,106,c0b98690-9439-4ec9-99bd-085571a5b9ae,41,female,-29.7,0,-9.2,
118001.jpg1,95,111,175,111,013c0408-2809-404e-be2b-c2660ca1f706,63,male,36.6,0,-15.3,
118001.jpg2,128,109,397,109,ec26e2a4-f65d-48d6-b0fd-5d52dd4e42d9,43,female,-18.8,0,12.2,
118251.jpg1,71,128,89,128,4cd9aec2-d4c2-4555-9fcb-2cca5342f929,81,male,-1,0,-2.5,
118251.jpg2,123,104,387,104,56bfd76c-d22a-42fc-b81f-e2e9affa5d49,39,female,-31.2,0,10.5,
118501.jpg1,80,131,92,131,5f8aa40e-adda-4dc0-93ff-1afe94c71026,81,male,-4,0,0.4,
118501.jpg2,121,104,421,104,7a800192-69bc-4a37-bc47-f2d9a5545c7c,46,female,-26.3,0,13.8,
118751.jpg1,78,126,131,126,945f742e-cb0c-472f-91f5-9f1690979d16,72,male,20.7,0,-0.6,
118751.jpg2,105,98,383,98,ae8d00a1-2ef5-41c3-b9ef-2b75a0603693,52,male,-48.4,0,17.3,
119001.jpg1,144,92,462,92,f515db27-ec79-4f46-9c15-dfc6581ae759,58,female,29.7,0,7.8,
119251.jpg1,86,67,181,67,dafedf80-aa48-4551-a4cf-c70557bbc7c3,68,male,-32,0,-15.6,
119251.jpg2,126,61,354,61,bf7b5d95-9a33-43a6-a69b-f732ec208d15,52,female,-48.3,0,5.2,
119501.jpg1,112,109,279,109,36a2f4ab-dec9-44af-8b22-b95a702f15d1,44,female,-9.2,0,6.2,
119751.jpg1,91,115,272,115,5d015d38-adb9-4ed6-bf8f-91dca93fe8b2,46,female,-12.6,0,10,
120001.jpg1,89,121,273,121,f303e0ec-838d-4005-8a5e-713031565fa5,46,female,-8.5,0,3.3,
120251.jpg1,88,118,274,118,8bb6a9e2-f19a-4c90-b88e-44a89ec6f6b4,48,female,-13.1,0,1.6,
120501.jpg1,92,127,114,127,dc997e04-19fa-40b2-a041-0aba6c082609,79,male,7.2,0,1.1,
120501.jpg2,81,118,417,118,256a32e6-5bb3-4097-bdca-b3da2cfe7272,44,female,-5.9,0,-1.6,
120751.jpg1,83,127,157,127,61dc1bb0-79d2-4307-a420-f486ff80deeb,81,male,16.7,0,-5.4,
120751.jpg2,86,115,442,115,fc8b4ded-4456-45d5-bb45-bba633bf0129,45,female,13.6,0,1.2,
121001.jpg1,126,62,422,62,fed01b7a-5d52-4348-a19b-5da714a5f851,12,female,-28.5,0,-1.8,
121001.jpg2,59,61,181,61,714f4e65-a26d-457e-89ca-ce1f4252b099,64,male,-22.5,0,5.2,
121251.jpg1,90,28,485,28,041abb22-d841-4d77-80a4-550fd5be6b24,35,female,-13.5,0,-6.8,
121501.jpg1,84,118,411,118,7a91a29d-b433-4b42-a752-ce100d239e09,47,female,-5.5,0,-1.2,
121501.jpg2,83,110,131,110,521de804-f0e3-47fd-8910-5da3241f9b7d,64,male,44.6,0,-15.5,
121751.jpg1,95,121,142,121,20264285-91ec-4770-a38c-362db703e210,54,male,37,0,-5.3,
121751.jpg2,100,111,421,111,c4b9fb3d-a3d6-45d8-abd8-9d245f6a3e27,36,female,1.6,0,-1.2,
122001.jpg1,91,114,221,114,9c006e1e-dbce-4def-a319-6658e3342078,42,female,-30.2,0,7.5,
122251.jpg1,94,111,203,111,71d45cd0-35af-4a74-bbff-469936df785c,38,female,-34.6,0,2,
122501.jpg1,81,118,262,118,903d6370-ba3e-4db8-b407-ff1b9b6c5fcd,45,female,-10.4,0,5.2,
122751.jpg1,92,110,275,110,755ea10b-e008-4985-b2ed-2d7564c327cf,34,female,-30.2,0,14.4,
123001.jpg1,75,123,374,123,9f15a545-652c-48b8-a646-a204a24d4b4f,46,female,-8.7,0,1.8,
123251.jpg1,87,114,398,114,e757908c-ab9b-45ae-a716-0a75a19d49a4,39,female,-4.4,0,6.8,
123501.jpg1,96,124,106,124,9eb66e2c-6c84-4cd1-8b81-e93f21cf91c0,82,male,19.8,0,-8,
123501.jpg2,106,112,425,112,eb4fe214-60cf-404f-91b6-16881893f50f,46,female,-17.1,0,8.6,
123751.jpg1,87,124,126,124,83a337e4-0591-406e-90e4-aba69761c30f,77,male,21.8,0,-5,
